latitude,longitude,value
88.2421875,-165.9375,1.3217242
88.2421875,-162.421875,1.5810192
88.2421875,-160.6640625,1.4005634
88.2421875,-157.1484375,1.2524024
88.2421875,-155.390625,1.7127624
88.2421875,-153.6328125,1.4109126
88.2421875,-151.875,1.3151816
88.2421875,-150.1171875,1.7020447
88.2421875,-148.359375,1.2919647
88.2421875,-146.6015625,1.4893425
88.2421875,-144.84375,1.6847447
88.2421875,-143.0859375,1.9740776
88.2421875,-141.328125,1.2696224
88.2421875,-139.5703125,1.2118634
88.2421875,-137.8125,1.4516484
88.2421875,-136.0546875,1.718515
88.2421875,-134.296875,1.369016
88.2421875,-132.5390625,1.423256
88.2421875,-130.78125,1.3964183
88.2421875,-129.0234375,1.3757585
88.2421875,-127.265625,1.3803786
88.2421875,-125.5078125,1.4673207
88.2421875,-123.75,1.2721432
88.2421875,-121.9921875,1.6153558
88.2421875,-120.234375,1.399633
88.2421875,-118.4765625,1.4281675
88.2421875,-116.71875,1.521381
88.2421875,-114.9609375,1.4512285
88.2421875,-113.203125,1.5722984
88.2421875,-111.4453125,1.3147308
88.2421875,-109.6875,1.4858433
88.2421875,-107.9296875,1.4011291
88.2421875,-106.171875,1.3909675
88.2421875,-104.4140625,1.2769501
88.2421875,-102.65625,1.2724954
88.2421875,-100.8984375,1.3520089
88.2421875,-99.140625,1.5252731
88.2421875,-97.3828125,1.4709064
88.2421875,-95.625,1.3764042
88.2421875,-93.8671875,1.3535078
88.2421875,-92.109375,1.4058172
88.2421875,-90.3515625,1.2821103
88.2421875,-88.59375,1.082446
88.2421875,-86.8359375,1.9464136
88.2421875,-85.078125,1.3831187
88.2421875,-83.3203125,2.4774544
88.2421875,-81.5625,1.8126268
88.2421875,-79.8046875,1.5029808
88.2421875,-78.046875,3.316799
88.2421875,-76.2890625,1.4545945
88.2421875,-74.53125,1.1605841
88.2421875,-72.7734375,1.2620149
88.2421875,-71.015625,1.4562731
88.2421875,-69.2578125,2.3362236
88.2421875,-67.5,1.316536
88.2421875,-65.7421875,2.849233
88.2421875,-63.984375,2.1961806
88.2421875,-62.2265625,1.1404868
88.2421875,-60.46875,1.341893
88.2421875,-58.7109375,1.3622324
88.2421875,-56.953125,1.4281079
88.2421875,-55.1953125,1.3462311
88.2421875,-49.921875,1.448907
88.2421875,-48.1640625,1.2396669
88.2421875,-46.40625,1.5918739
88.2421875,-44.6484375,1.3883159
88.2421875,-42.890625,1.3629426
88.2421875,-41.1328125,1.6901674
88.2421875,-39.375,1.539107
88.2421875,-37.6171875,1.6538279
88.2421875,-35.859375,1.1390585
88.2421875,-34.1015625,1.3449414
88.2421875,-32.34375,1.3405993
88.2421875,-30.5859375,1.4152501
88.2421875,-28.828125,1.3819315
88.2421875,-27.0703125,1.5561588
88.2421875,-25.3125,1.3689308
88.2421875,-23.5546875,1.4946909
88.2421875,-21.796875,1.2977383
88.2421875,-18.28125,1.1724584
88.2421875,-16.5234375,1.5000508
88.2421875,-14.765625,1.6250302
88.2421875,-13.0078125,1.5908136
88.2421875,-11.25,1.3304121
88.2421875,-9.4921875,1.3797698
88.2421875,-7.734375,1.2922426
88.2421875,-5.9765625,1.2522918
88.2421875,-4.21875,1.3328136
88.2421875,-2.4609375,1.3413785
88.2421875,-0.703125,1.5372969
88.2421875,1.0546875,1.3870889
88.2421875,2.8125,1.4113892
88.2421875,4.5703125,1.3863555
88.2421875,6.328125,1.319069
88.2421875,8.0859375,1.3592027
88.2421875,9.84375,1.4494247
88.2421875,11.6015625,1.7481059
88.2421875,13.359375,1.4749473
88.2421875,15.1171875,1.4439709
88.2421875,16.875,1.4122874
88.2421875,18.6328125,1.5300497
88.2421875,20.390625,1.397133
88.2421875,22.1484375,1.3001158
88.2421875,23.90625,1.8653142
88.2421875,25.6640625,1.5000247
88.2421875,27.421875,1.3463638
88.2421875,29.1796875,1.2895018
88.2421875,30.9375,1.576961
88.2421875,32.6953125,1.5337937
88.2421875,34.453125,1.8529495
88.2421875,36.2109375,1.6038061
88.2421875,37.96875,1.553526
88.2421875,39.7265625,1.3153319
88.2421875,41.484375,1.6379329
88.2421875,43.2421875,1.4798956
88.2421875,45.0,1.4947253
88.2421875,46.7578125,1.773004
88.2421875,48.515625,1.3859062
88.2421875,50.2734375,1.7322857
88.2421875,52.03125,1.6856828
88.2421875,53.7890625,1.2041146
88.2421875,55.546875,1.3875529
88.2421875,57.3046875,1.4025432
88.2421875,59.0625,1.7414241
88.2421875,60.8203125,1.482337
88.2421875,62.578125,2.0419986
88.2421875,64.3359375,1.3431709
88.2421875,66.09375,1.3421917
88.2421875,67.8515625,1.3166292
88.2421875,69.609375,1.2204604
88.2421875,71.3671875,1.4411378
88.2421875,73.125,1.4011133
88.2421875,74.8828125,1.2051728
88.2421875,76.640625,1.4247646
88.2421875,78.3984375,1.3817055
88.2421875,80.15625,1.4076679
88.2421875,81.9140625,1.4310813
88.2421875,83.671875,1.4465673
88.2421875,85.4296875,1.8471768
88.2421875,87.1875,1.3139898
88.2421875,88.9453125,1.4074091
88.2421875,90.703125,1.4469028
88.2421875,92.4609375,1.3544154
88.2421875,94.21875,1.2481787
88.2421875,95.9765625,1.1035233
88.2421875,97.734375,1.4460168
88.2421875,99.4921875,1.7749759
88.2421875,101.25,1.4302926
88.2421875,103.0078125,1.459866
88.2421875,104.765625,1.7536718
88.2421875,106.5234375,1.3380028
88.2421875,108.28125,1.3299578
88.2421875,110.0390625,2.574311
88.2421875,111.796875,1.339056
88.2421875,113.5546875,1.521781
88.2421875,115.3125,1.6097523
88.2421875,117.0703125,1.2663157
88.2421875,118.828125,1.2769831
88.2421875,120.5859375,1.3222991
88.2421875,122.34375,1.410654
88.2421875,124.1015625,1.2972308
88.2421875,125.859375,1.3195292
88.2421875,127.6171875,1.4295195
88.2421875,129.375,1.5841379
88.2421875,131.1328125,1.623621
88.2421875,132.890625,1.4075177
88.2421875,134.6484375,1.4464965
88.2421875,136.40625,1.2238007
88.2421875,138.1640625,1.2951939
88.2421875,139.921875,1.2323731
88.2421875,141.6796875,1.2567279
88.2421875,143.4375,1.3193667
88.2421875,145.1953125,1.2546957
88.2421875,146.953125,1.4933535
88.2421875,148.7109375,1.642828
88.2421875,150.46875,1.3142773
88.2421875,152.2265625,1.4841006
88.2421875,155.7421875,1.6205703
88.2421875,157.5,1.2993985
88.2421875,159.2578125,1.4072484
88.2421875,161.015625,1.4316033
88.2421875,162.7734375,1.4680651
88.2421875,166.2890625,1.2918375
86.484375,-172.96875,1.4604691
86.484375,-171.2109375,1.7484027
86.484375,-169.453125,1.4175546
86.484375,-167.6953125,1.954289
86.484375,-165.9375,1.4874413
86.484375,-164.1796875,1.510861
86.484375,-162.421875,1.5417546
86.484375,-160.6640625,1.4503279
86.484375,-157.1484375,1.3225299
86.484375,-155.390625,1.5921583
86.484375,-153.6328125,1.3727932
86.484375,-151.875,1.4717216
86.484375,-150.1171875,1.8042084
86.484375,-148.359375,1.514276
86.484375,-146.6015625,1.5736003
86.484375,-144.84375,1.2393345
86.484375,-143.0859375,1.7096756
86.484375,-141.328125,1.4252747
86.484375,-139.5703125,1.3569359
86.484375,-137.8125,1.4434246
86.484375,-136.0546875,1.4903752
86.484375,-134.296875,1.4628416
86.484375,-132.5390625,1.4660057
86.484375,-130.78125,1.4819725
86.484375,-129.0234375,1.5554706
86.484375,-127.265625,1.4915596
86.484375,-125.5078125,1.425545
86.484375,-123.75,1.4272635
86.484375,-121.9921875,1.6484346
86.484375,-120.234375,1.4509447
86.484375,-118.4765625,1.3253734
86.484375,-116.71875,1.2105709
86.484375,-114.9609375,1.3875101
86.484375,-113.203125,1.3476379
86.484375,-111.4453125,1.3803637
86.484375,-109.6875,1.6112328
86.484375,-107.9296875,1.5293528
86.484375,-106.171875,1.3947946
86.484375,-104.4140625,1.2154566
86.484375,-102.65625,1.2837118
86.484375,-100.8984375,1.4835743
86.484375,-99.140625,1.301917
86.484375,-97.3828125,1.7076881
86.484375,-93.8671875,1.3335098
86.484375,-92.109375,1.6915971
86.484375,-90.3515625,2.010567
86.484375,-88.59375,1.2623421
86.484375,-86.8359375,1.9306359
86.484375,-85.078125,1.4476044
86.484375,-83.3203125,2.2857246
86.484375,-81.5625,2.2857246
86.484375,-78.046875,1.3890606
86.484375,-76.2890625,1.9702083
86.484375,-74.53125,1.3568335
86.484375,-72.7734375,1.2694432
86.484375,-71.015625,1.6365904
86.484375,-69.2578125,1.7000883
86.484375,-67.5,1.9082267
86.484375,-65.7421875,1.4506576
86.484375,-63.984375,1.2941557
86.484375,-62.2265625,1.6095843
86.484375,-60.46875,1.1769335
86.484375,-58.7109375,1.7614934
86.484375,-56.953125,1.3460815
86.484375,-55.1953125,1.7312073
86.484375,-53.4375,1.3247563
86.484375,-51.6796875,1.73257
86.484375,-49.921875,1.3512163
86.484375,-48.1640625,1.375956
86.484375,-46.40625,1.3933338
86.484375,-44.6484375,1.3302219
86.484375,-42.890625,1.308279
86.484375,-41.1328125,1.399832
86.484375,-39.375,1.7164676
86.484375,-37.6171875,1.8054792
86.484375,-35.859375,1.6124604
86.484375,-34.1015625,1.5367292
86.484375,-32.34375,1.4353105
86.484375,-30.5859375,1.6276461
86.484375,-28.828125,1.6992784
