latitude,longitude,value
90.0,-164.1796875,0.49125853
90.0,-162.421875,0.87469447
90.0,-160.6640625,0.87469447
90.0,-92.109375,0.41541663
90.0,-90.3515625,0.41541663
90.0,-88.59375,0.41541663
90.0,-86.8359375,0.38733092
90.0,-85.078125,0.38733092
90.0,-83.3203125,0.38733092
90.0,-81.5625,0.3644248
90.0,-79.8046875,0.3644248
90.0,-65.7421875,1.385976
90.0,-63.984375,1.4119952
90.0,-62.2265625,1.4119952
90.0,-46.40625,0.23097861
90.0,-44.6484375,0.23097861
90.0,-42.890625,0.22803819
90.0,-41.1328125,0.257277
90.0,-37.6171875,0.34215122
90.0,-35.859375,0.34215122
90.0,-34.1015625,0.34215122
90.0,-27.0703125,0.39716518
90.0,-25.3125,0.39716518
90.0,-23.5546875,0.39716518
90.0,-21.796875,0.26912916
90.0,-20.0390625,0.39716518
90.0,-18.28125,0.39716518
90.0,-16.5234375,0.39716518
90.0,-14.765625,0.39716518
90.0,2.8125,1.6185564
90.0,4.5703125,1.6185564
90.0,13.359375,0.42092377
90.0,50.2734375,1.4348279
90.0,52.03125,1.4348279
90.0,53.7890625,1.4348279
90.0,55.546875,1.4348279
90.0,57.3046875,1.4192449
90.0,60.8203125,1.0409347
90.0,64.3359375,1.6243716
90.0,66.09375,0.8293633
90.0,67.8515625,0.84701157
90.0,69.609375,0.31284365
90.0,83.671875,0.6417085
90.0,85.4296875,0.257211
90.0,87.1875,0.257211
90.0,113.5546875,1.2192605
90.0,145.1953125,0.31927705
90.0,146.953125,0.28220537
90.0,148.7109375,0.25641534
88.2421875,-180.0,0.384445
88.2421875,-178.2421875,0.40559375
88.2421875,-176.484375,0.51512945
88.2421875,-174.7265625,0.59273744
88.2421875,-172.96875,0.5704823
88.2421875,-171.2109375,0.35692075
88.2421875,-169.453125,0.2743311
88.2421875,-167.6953125,0.26614407
88.2421875,-165.9375,0.26614407
88.2421875,-164.1796875,0.34300643
88.2421875,-162.421875,0.31419188
88.2421875,-160.6640625,0.35883468
88.2421875,-158.90625,0.36939397
88.2421875,-157.1484375,0.35378304
88.2421875,-155.390625,0.35267413
88.2421875,-153.6328125,0.3567803
88.2421875,-151.875,0.36486644
88.2421875,-150.1171875,0.3493414
88.2421875,-148.359375,0.34030417
88.2421875,-146.6015625,0.33965096
88.2421875,-144.84375,0.33884138
88.2421875,-143.0859375,0.33618772
88.2421875,-141.328125,0.33717614
88.2421875,-139.5703125,0.34063134
88.2421875,-137.8125,0.33751434
88.2421875,-136.0546875,0.3416348
88.2421875,-134.296875,0.33958903
88.2421875,-132.5390625,0.34975207
88.2421875,-130.78125,0.35462594
88.2421875,-129.0234375,0.34202144
88.2421875,-127.265625,0.34051454
88.2421875,-125.5078125,0.33873138
88.2421875,-123.75,0.33180583
88.2421875,-121.9921875,0.3324091
88.2421875,-120.234375,0.33452785
88.2421875,-118.4765625,0.32537368
88.2421875,-116.71875,0.32445285
88.2421875,-114.9609375,0.32466933
88.2421875,-113.203125,0.32243335
88.2421875,-111.4453125,0.3353753
88.2421875,-109.6875,0.33807027
88.2421875,-107.9296875,0.3385573
88.2421875,-106.171875,0.32963628
88.2421875,-104.4140625,0.32689872
88.2421875,-102.65625,0.32884997
88.2421875,-100.8984375,0.34686038
88.2421875,-99.140625,0.3481452
88.2421875,-97.3828125,0.34779328
88.2421875,-95.625,0.35145742
88.2421875,-93.8671875,0.35180166
88.2421875,-92.109375,0.3370213
88.2421875,-90.3515625,0.34417704
88.2421875,-88.59375,0.34967315
88.2421875,-86.8359375,0.35435253
88.2421875,-85.078125,0.36630476
88.2421875,-83.3203125,0.36039993
