latitude,longitude,value
90.0,-164.1796875,0.5935268
90.0,-162.421875,0.5935268
90.0,-160.6640625,0.5935268
90.0,-151.875,0.57043
90.0,-150.1171875,0.57043
90.0,-136.0546875,0.74192655
90.0,-109.6875,0.9843742
90.0,-107.9296875,0.82893234
90.0,-106.171875,0.82893234
90.0,-97.3828125,0.77344537
90.0,-95.625,0.77344537
90.0,-93.8671875,0.77344537
90.0,-92.109375,0.77344537
90.0,-90.3515625,0.77344537
90.0,-88.59375,0.77344537
90.0,-83.3203125,0.55728835
90.0,-81.5625,0.55728835
90.0,-79.8046875,0.55728835
90.0,-46.40625,0.6573855
90.0,-44.6484375,0.6573855
90.0,-42.890625,0.56987643
90.0,-41.1328125,0.56987643
90.0,-27.0703125,0.8266629
90.0,-25.3125,0.8266629
90.0,-23.5546875,0.8266629
90.0,-21.796875,0.79418254
90.0,-20.0390625,0.8266629
90.0,-18.28125,0.8266629
90.0,-16.5234375,0.8266629
90.0,-14.765625,0.8266629
90.0,50.2734375,0.8326668
90.0,52.03125,0.8326668
90.0,53.7890625,0.82154226
90.0,55.546875,0.82154226
90.0,57.3046875,0.8358857
90.0,59.0625,0.6446378
90.0,66.09375,0.7983837
90.0,67.8515625,0.8256338
90.0,69.609375,0.8256338
90.0,83.671875,0.84406066
90.0,95.9765625,0.7478811
90.0,104.765625,0.86564404
90.0,110.0390625,0.6429334
90.0,111.796875,0.6433799
90.0,113.5546875,0.6433799
90.0,115.3125,0.6433799
90.0,117.0703125,0.6412985
90.0,145.1953125,0.61854583
90.0,146.953125,0.6173969
90.0,148.7109375,0.61589855
88.2421875,-180.0,0.631439
88.2421875,-178.2421875,0.6301487
88.2421875,-176.484375,0.6590279
88.2421875,-174.7265625,0.6377003
88.2421875,-172.96875,0.6623556
88.2421875,-171.2109375,0.6223534
88.2421875,-169.453125,0.61706996
88.2421875,-167.6953125,0.5605434
88.2421875,-165.9375,0.55510026
88.2421875,-164.1796875,0.54970455
88.2421875,-162.421875,0.5589025
88.2421875,-160.6640625,0.5634256
88.2421875,-158.90625,0.56297696
88.2421875,-157.1484375,0.55382687
88.2421875,-155.390625,0.5604132
88.2421875,-153.6328125,0.5691797
88.2421875,-151.875,0.5717181
88.2421875,-150.1171875,0.5784733
88.2421875,-148.359375,0.5766838
88.2421875,-146.6015625,0.5818302
88.2421875,-144.84375,0.58312184
88.2421875,-143.0859375,0.58266413
88.2421875,-141.328125,0.58632207
88.2421875,-139.5703125,0.59431374
88.2421875,-137.8125,0.59763193
88.2421875,-136.0546875,0.6028035
88.2421875,-134.296875,0.60476017
88.2421875,-132.5390625,0.6079051
88.2421875,-130.78125,0.6092295
88.2421875,-129.0234375,0.6148756
88.2421875,-127.265625,0.6159756
88.2421875,-125.5078125,0.61580265
88.2421875,-123.75,0.6187696
88.2421875,-121.9921875,0.61853397
88.2421875,-120.234375,0.61957496
88.2421875,-118.4765625,0.6198046
88.2421875,-116.71875,0.6205738
88.2421875,-114.9609375,0.6235256
88.2421875,-113.203125,0.6268218
88.2421875,-111.4453125,0.63093597
88.2421875,-109.6875,0.6419177
88.2421875,-107.9296875,0.6380491
88.2421875,-106.171875,0.6362958
88.2421875,-104.4140625,0.638135
88.2421875,-102.65625,0.63877916
88.2421875,-100.8984375,0.6471265
88.2421875,-99.140625,0.6481234
88.2421875,-97.3828125,0.64413923
88.2421875,-95.625,0.6426644
88.2421875,-93.8671875,0.6402759
88.2421875,-92.109375,0.6420024
88.2421875,-90.3515625,0.6442625
88.2421875,-88.59375,0.6464706
88.2421875,-86.8359375,0.6435695
88.2421875,-85.078125,0.64414614
88.2421875,-83.3203125,0.65019053
88.2421875,-81.5625,0.6534061
88.2421875,-79.8046875,0.66649824
88.2421875,-78.046875,0.66762227
88.2421875,-76.2890625,0.6697332
88.2421875,-74.53125,0.66669655
88.2421875,-72.7734375,0.6780599
88.2421875,-71.015625,0.6806616
88.2421875,-69.2578125,0.6873805
88.2421875,-67.5,0.6930377
88.2421875,-65.7421875,0.6988084
88.2421875,-63.984375,0.71003526
88.2421875,-62.2265625,0.71286863
88.2421875,-60.46875,0.71782154
88.2421875,-58.7109375,0.7114973
88.2421875,-56.953125,0.71178234
88.2421875,-55.1953125,0.7127433
88.2421875,-53.4375,0.71378523
88.2421875,-51.6796875,0.71631306
88.2421875,-49.921875,0.7175789
88.2421875,-48.1640625,0.70455176
88.2421875,-46.40625,0.70550215
88.2421875,-44.6484375,0.7061357
88.2421875,-42.890625,0.710202
88.2421875,-41.1328125,0.71255493
88.2421875,-39.375,0.71333706
88.2421875,-37.6171875,0.71927553
88.2421875,-35.859375,0.71719915
88.2421875,-34.1015625,0.714915
88.2421875,-32.34375,0.71092254
88.2421875,-30.5859375,0.71341443
88.2421875,-28.828125,0.7126302
88.2421875,-27.0703125,0.71053255
88.2421875,-25.3125,0.71656775
88.2421875,-23.5546875,0.70437175
88.2421875,-21.796875,0.7081711
88.2421875,-20.0390625,0.7072371
88.2421875,-18.28125,0.7071921
88.2421875,-16.5234375,0.70666164
88.2421875,-14.765625,0.7062372
88.2421875,-13.0078125,0.70026183
88.2421875,-11.25,0.6982641
88.2421875,-9.4921875,0.6929483
88.2421875,-7.734375,0.69132805
88.2421875,-5.9765625,0.6922271
88.2421875,-4.21875,0.690589
88.2421875,-2.4609375,0.6910183
88.2421875,-0.703125,0.6979438
88.2421875,1.0546875,0.6971482
88.2421875,2.8125,0.6967559
88.2421875,4.5703125,0.6985038
88.2421875,6.328125,0.69746673
88.2421875,8.0859375,0.696395
88.2421875,9.84375,0.696033
88.2421875,11.6015625,0.689686
88.2421875,13.359375,0.6838392
88.2421875,15.1171875,0.68505996
88.2421875,16.875,0.6869312
88.2421875,18.6328125,0.6867011
88.2421875,20.390625,0.67498463
88.2421875,22.1484375,0.6714921
88.2421875,23.90625,0.6696663
88.2421875,25.6640625,0.6671196
88.2421875,27.421875,0.66648304
88.2421875,29.1796875,0.66458
88.2421875,30.9375,0.65465075
88.2421875,32.6953125,0.6489559
88.2421875,34.453125,0.64508736
88.2421875,36.2109375,0.6431744
88.2421875,37.96875,0.6376534
88.2421875,39.7265625,0.6328859
88.2421875,41.484375,0.634566
88.2421875,43.2421875,0.63364965
88.2421875,45.0,0.63134027
88.2421875,46.7578125,0.6271644
88.2421875,48.515625,0.62238634
88.2421875,50.2734375,0.6207152
88.2421875,52.03125,0.62263954
88.2421875,53.7890625,0.6241388
88.2421875,55.546875,0.6247055
88.2421875,57.3046875,0.62812585
88.2421875,59.0625,0.62896836
88.2421875,60.8203125,0.62833476
88.2421875,62.578125,0.6272496
88.2421875,64.3359375,0.6303572
88.2421875,66.09375,0.6334892
88.2421875,67.8515625,0.63653475
88.2421875,69.609375,0.63915694
88.2421875,71.3671875,0.638801
88.2421875,73.125,0.64161056
88.2421875,74.8828125,0.6383834
88.2421875,76.640625,0.6437159
88.2421875,78.3984375,0.65262944
88.2421875,80.15625,0.65103614
88.2421875,81.9140625,0.65370965
88.2421875,83.671875,0.6570659
88.2421875,85.4296875,0.6567305
88.2421875,87.1875,0.6574729
88.2421875,88.9453125,0.6626328
88.2421875,90.703125,0.66628903
88.2421875,92.4609375,0.6717236
88.2421875,94.21875,0.67147017
88.2421875,95.9765625,0.6686506
88.2421875,97.734375,0.666004
88.2421875,99.4921875,0.667575
88.2421875,101.25,0.6701384
88.2421875,103.0078125,0.66987723
88.2421875,104.765625,0.66607887
88.2421875,106.5234375,0.6630738
88.2421875,108.28125,0.66540325
88.2421875,110.0390625,0.66976535
88.2421875,111.796875,0.66849285
88.2421875,113.5546875,0.66271544
88.2421875,115.3125,0.6613742
88.2421875,117.0703125,0.6589715
88.2421875,118.828125,0.65639657
88.2421875,120.5859375,0.65723306
88.2421875,122.34375,0.6632009
88.2421875,124.1015625,0.66238934
88.2421875,125.859375,0.6576596
88.2421875,127.6171875,0.65467274
88.2421875,129.375,0.65469795
88.2421875,131.1328125,0.66059303
88.2421875,132.890625,0.66160494
88.2421875,134.6484375,0.66548645
88.2421875,136.40625,0.6602536
88.2421875,138.1640625,0.65152216
88.2421875,139.921875,0.65206534
88.2421875,141.6796875,0.6394022
88.2421875,143.4375,0.63874036
88.2421875,145.1953125,0.6375644
88.2421875,146.953125,0.63773334
88.2421875,148.7109375,0.6365941
88.2421875,150.46875,0.6350006
88.2421875,152.2265625,0.6417234
88.2421875,153.984375,0.640653
88.2421875,155.7421875,0.6373917
88.2421875,157.5,0.6327036
88.2421875,159.2578125,0.63640237
88.2421875,161.015625,0.63442457
88.2421875,162.7734375,0.62834984
88.2421875,164.53125,0.63574034
88.2421875,166.2890625,0.62266237
88.2421875,168.046875,0.62181246
88.2421875,169.8046875,0.62200105
88.2421875,171.5625,0.6337224
88.2421875,173.3203125,0.6629911
88.2421875,175.078125,0.6585597
88.2421875,176.8359375,0.6287613
88.2421875,178.59375,0.6460175
86.484375,-180.0,0.62179756
86.484375,-178.2421875,0.62454087
86.484375,-176.484375,0.6248196
86.484375,-174.7265625,0.62022287
86.484375,-172.96875,0.6026191
86.484375,-171.2109375,0.61384296
86.484375,-169.453125,0.63657033
86.484375,-167.6953125,0.60681665
86.484375,-165.9375,0.6170091
86.484375,-164.1796875,0.60043746
86.484375,-162.421875,0.58539337
86.484375,-160.6640625,0.59155685
86.484375,-158.90625,0.58995724
86.484375,-157.1484375,0.58999574
86.484375,-155.390625,0.57866585
